scenario_id,scenario_name_en,scenario_name_zh_hant,target_id,target_en,target_zh_hant,participation_mode_id,participation_mode_name_en,participation_mode_name_zh_hant,prompt_en,prompt_zh_hant,stationary_required,photo_task_allowed,driver_interaction_allowed,adult_supervision_required,skip_allowed,safety_boundary_en,safety_boundary_zh_hant,official_reference_ids
pre-trip,Before leaving,出發前,target-01,one item that helps everyone stay comfortable,一件讓大家旅途中更舒適的物品,watch,Watch or point,看一看／指出來,"From your current spot, notice one item that helps everyone stay comfortable. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一件讓大家旅途中更舒適的物品」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-01,one item that helps everyone stay comfortable,一件讓大家旅途中更舒適的物品,describe,Notice or describe,觀察／描述,"Notice one item that helps everyone stay comfortable. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一件讓大家旅途中更舒適的物品」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-01,one item that helps everyone stay comfortable,一件讓大家旅途中更舒適的物品,create,Plan or create,規劃／創作,"Use one item that helps everyone stay comfortable as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一件讓大家旅途中更舒適的物品」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-02,one item in the adult's travel-document check,一件大人會檢查的旅行文件用品,watch,Watch or point,看一看／指出來,"From your current spot, notice one item in the adult's travel-document check. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一件大人會檢查的旅行文件用品」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-02,one item in the adult's travel-document check,一件大人會檢查的旅行文件用品,describe,Notice or describe,觀察／描述,"Notice one item in the adult's travel-document check. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一件大人會檢查的旅行文件用品」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-02,one item in the adult's travel-document check,一件大人會檢查的旅行文件用品,create,Plan or create,規劃／創作,"Use one item in the adult's travel-document check as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一件大人會檢查的旅行文件用品」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-03,one object that can be used again instead of thrown away,一件可重複使用而非用完即丟的物品,watch,Watch or point,看一看／指出來,"From your current spot, notice one object that can be used again instead of thrown away. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一件可重複使用而非用完即丟的物品」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-03,one object that can be used again instead of thrown away,一件可重複使用而非用完即丟的物品,describe,Notice or describe,觀察／描述,"Notice one object that can be used again instead of thrown away. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一件可重複使用而非用完即丟的物品」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-03,one object that can be used again instead of thrown away,一件可重複使用而非用完即丟的物品,create,Plan or create,規劃／創作,"Use one object that can be used again instead of thrown away as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一件可重複使用而非用完即丟的物品」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-04,one quiet activity for a wait,一種等待時可安靜進行的活動,watch,Watch or point,看一看／指出來,"From your current spot, notice one quiet activity for a wait. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一種等待時可安靜進行的活動」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-04,one quiet activity for a wait,一種等待時可安靜進行的活動,describe,Notice or describe,觀察／描述,"Notice one quiet activity for a wait. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一種等待時可安靜進行的活動」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-04,one quiet activity for a wait,一種等待時可安靜進行的活動,create,Plan or create,規劃／創作,"Use one quiet activity for a wait as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一種等待時可安靜進行的活動」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-05,one colour shared by two packed items,兩件擁有相同顏色的行李物品,watch,Watch or point,看一看／指出來,"From your current spot, notice one colour shared by two packed items. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「兩件擁有相同顏色的行李物品」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-05,one colour shared by two packed items,兩件擁有相同顏色的行李物品,describe,Notice or describe,觀察／描述,"Notice one colour shared by two packed items. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「兩件擁有相同顏色的行李物品」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-05,one colour shared by two packed items,兩件擁有相同顏色的行李物品,create,Plan or create,規劃／創作,"Use one colour shared by two packed items as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「兩件擁有相同顏色的行李物品」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-06,one item the adult may need to reach quickly,一件大人可能需要快速拿到的物品,watch,Watch or point,看一看／指出來,"From your current spot, notice one item the adult may need to reach quickly. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一件大人可能需要快速拿到的物品」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-06,one item the adult may need to reach quickly,一件大人可能需要快速拿到的物品,describe,Notice or describe,觀察／描述,"Notice one item the adult may need to reach quickly. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一件大人可能需要快速拿到的物品」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-06,one item the adult may need to reach quickly,一件大人可能需要快速拿到的物品,create,Plan or create,規劃／創作,"Use one item the adult may need to reach quickly as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一件大人可能需要快速拿到的物品」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
