record_id,locale,app_key,app_name,app_store_id,publisher_query,decision_context,purchase_model,one_time_option,source_persona_query,canonical_guide_url,canonical_app_store_url,app_store_url,publisher_disclosure,query_origin,measured_search_volume,is_ranking,verified_live
ar-SA:notesstudio100:best-offline-handwriting-notes-app-for-ipad-with-pdf-markup-no-subscription,ar-SA,notesstudio100,100 Notes Studio: Pen & Paper,6798813048,100 Notes Studio: Pen & Paper — دفتر ملاحظات بخط اليد وPDF | iOS App,اجمع الكتابة اليدوية والنصوص وملفات PDF والمراجعة في مساحة هادئة تعمل دون اتصال. صُمّم 100 Notes Studio للأجهزة اللوحية، مع تجربة كاملة للهاتف، كي تنظم,free_with_lifetime_unlock,true,best offline handwriting notes app for ipad with pdf markup no subscription,https://alice51849.github.io/ios-app-guide/ar-SA/notesstudio100.html,https://apps.apple.com/app/id6798813048,https://apps.apple.com/sa/app/id6798813048?pt=118326163&ct=iag_data_ar_sa&mt=8,هذه مادة ينشرها Lumi Studio مباشرةً بصفته مطور جميع التطبيقات المدرجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:aibriefpack:best-private-app-to-organize-screenshots-and-documents-into-context-before-using-ai,ar-SA,aibriefpack,AI Brief,6791658210,best private app to organize screenshots and documents into context before using AI,"AI Brief — Organize screenshots, PDFs, files, notes, and links into a traceable brief before sharing with any AI. Free to start · One-time unlock · No subscription.",free_with_lifetime_unlock,true,best private app to organize screenshots and documents into context before using AI,https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-private-app-to-organize-screenshots-and-documents-into-context-before-using-ai.html,https://apps.apple.com/app/id6791658210,https://apps.apple.com/sa/app/id6791658210?pt=118326163&ct=iag_data_ar_sa&mt=8,دليل من إعداد الناشر Lumi Studio، مطوّر التطبيق. أسماء التطبيقات علامات تجارية لأصحابها وتُستخدم للتعريف فقط. لقرارات المستندات والصحة والمدرسة والإنتاجية، تحقق من المتطلبات الرسمية عند الحاجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:aim990:best-toeic-prep-app-offline-study-plan-for-iphone,ar-SA,aim990,Aim990,6784974530,أفضل تطبيق تحضير TOEIC مع خطة دراسة بدون اتصال للآيفون,يبدو الجزء 5 قصيرًا، لكن أسئلة الجمل الناقصة يمكن أن تستغرق وقتًا إذا لم تكن القواعد والمفردات تلقائية.,free_with_lifetime_unlock,true,best toeic prep app offline study plan for iphone,https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-toeic-prep-app-offline-study-plan-for-iphone.html,https://apps.apple.com/app/id6784974530,https://apps.apple.com/sa/app/id6784974530?pt=118326163&ct=iag_data_ar_sa&mt=8,دليل من إعداد الناشر Lumi Studio، مطوّر التطبيق. أسماء التطبيقات علامات تجارية لأصحابها وتُستخدم للتعريف فقط. لقرارات المستندات والصحة والمدرسة والإنتاجية، تحقق من المتطلبات الرسمية عند الحاجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:aim990plus:best-offline-english-listening-and-reading-exam-trainer-for-iphone,ar-SA,aim990plus,Aim990 Plus,6792483140,best offline English listening and reading exam trainer for iPhone,"Aim990 Plus — Build calm, accurate decisions under time with 630 original questions, focused pressure sets, mistake replay, mocks, dictation, and offline progress. Paid download · Pay once · No subscription.",paid_upfront,true,best offline English listening and reading exam trainer for iPhone,https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-offline-english-listening-and-reading-exam-trainer-for-iphone.html,https://apps.apple.com/app/id6792483140,https://apps.apple.com/sa/app/id6792483140?pt=118326163&ct=iag_data_ar_sa&mt=8,دليل من إعداد الناشر Lumi Studio، مطوّر التطبيق. أسماء التطبيقات علامات تجارية لأصحابها وتُستخدم للتعريف فقط. لقرارات المستندات والصحة والمدرسة والإنتاجية، تحقق من المتطلبات الرسمية عند الحاجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:battai:best-iphone-battery-health-app-with-honest-estimates-and-report,ar-SA,battai,BattAI: نتيجة صحة البطارية,6802423998,BattAI: نتيجة صحة البطارية — المدة التقديرية حتى ⁦80%⁩ | iOS App,BattAI • يستخدم ⁦BattAI⁩ خمس قيم من واجهات ⁦iOS API⁩ العامة: مستوى البطارية وحالة الشحن ونمط الطاقة المنخفضة والحالة الحرارية للجهاز بالكامل والوقت. تُحسب النتائج الأخرى من هذه القراءات أو تضيفها أنت. تعرض كل معلومة مصدرها وحدودها. • لا يملك ⁦BattAI⁩ حسابًا أو قياسًا عن بُعد أو إعلانات أو طلبات شبكة. تبقى البيانات على هذا الجهاز، باستثناء لقطة صغيرة محدودة الميزات تُرسل مباشرة إلى ساعة ⁦Apple Watch⁩ المقترنة. أخذ العينات محدود، ويجري التحليل مرة كل خمس دقائق على الأكثر، وتستخدم التقديرات نطاقات، وتظل البيانات المفقودة مفقودة.,free_with_lifetime_unlock,true,best iphone battery health app with honest estimates and report,https://alice51849.github.io/ios-app-guide/ar-SA/battai.html,https://apps.apple.com/app/id6802423998,https://apps.apple.com/sa/app/id6802423998?pt=118326163&ct=iag_data_ar_sa&mt=8,هذه مادة ينشرها Lumi Studio مباشرةً بصفته مطور جميع التطبيقات المدرجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:caldaily:best-calculator-app-iphone-that-saves-history-you-can-name-and-search,ar-SA,caldaily,CalDaily حاسبة وسمات,6794178671,CalDaily حاسبة وسمات — ويدجت وأدوات وسجل مرتب | iOS App,آلة حاسبة ستستمر في استخدامها فعلًا، لأنها تتذكر ما وراء كل رقم.,free_with_lifetime_unlock,true,best calculator app iphone that saves history you can name and search,https://alice51849.github.io/ios-app-guide/ar-SA/caldaily.html,https://apps.apple.com/app/id6794178671,https://apps.apple.com/sa/app/id6794178671?pt=118326163&ct=iag_data_ar_sa&mt=8,هذه مادة ينشرها Lumi Studio مباشرةً بصفته مطور جميع التطبيقات المدرجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:cvdesk:best-resume-builder-app-for-career-changers-2026,ar-SA,cvdesk,CV Desk,6781337213,أفضل تطبيق لبناء السيرة الذاتية لمن يغيرون المهنة 2026,عند تغيير المجالات، مشكلة السيرة الذاتية مختلفة: خبرتك حقيقية لكنها 'غير ذات صلة' على الورق، وأنظمة ATS ترفضك قبل أن يقرأها إنسان — CV Desk مصمم لهذا.,free_with_lifetime_unlock,true,best resume builder app for career changers 2026,https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-resume-builder-app-for-career-changers-2026.html,https://apps.apple.com/app/id6781337213,https://apps.apple.com/sa/app/id6781337213?pt=118326163&ct=iag_data_ar_sa&mt=8,دليل من إعداد الناشر Lumi Studio، مطوّر التطبيق. أسماء التطبيقات علامات تجارية لأصحابها وتُستخدم للتعريف فقط. لقرارات المستندات والصحة والمدرسة والإنتاجية، تحقق من المتطلبات الرسمية عند الحاجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:cyca:best-period-tracker-app-no-account-required-iphone,ar-SA,cyca,Cyca,6782251621,أفضل تطبيق تتبع الدورة الشهرية بدون حساب للآيفون,في فئة حيث حساسية البيانات هي القصة كلها، يحافظ متتبع الدورة الصحيح على كل شيء — التدفق، المزاج، الأعراض، الحرارة، العلاقة الحميمة — على جهازك، بدون حساب وبدون مزامنة سحابية — Cyca مصمم لهذا.,free_with_lifetime_unlock,true,best period tracker app no account required iphone,https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-period-tracker-app-no-account-required-iphone.html,https://apps.apple.com/app/id6782251621,https://apps.apple.com/sa/app/id6782251621?pt=118326163&ct=iag_data_ar_sa&mt=8,دليل من إعداد الناشر Lumi Studio، مطوّر التطبيق. أسماء التطبيقات علامات تجارية لأصحابها وتُستخدم للتعريف فقط. لقرارات المستندات والصحة والمدرسة والإنتاجية، تحقق من المتطلبات الرسمية عند الحاجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:dailymate:best-practical-language-phrase-app-for-travelers-with-apple-watch,ar-SA,dailymate,DailyMate,6790418321,أفضل تطبيق لعبارات اللغة العملية للمسافرين مع Apple Watch,قبل السفر، العبارات الكاملة للمواقف الواقعية أكثر فائدة من المفردات المنفصلة التي تحتاج لتركيبها تحت الضغط — تم تصميم DailyMate لهذا الغرض.,paid_upfront,true,best practical language phrase app for travelers with apple watch,https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-practical-language-phrase-app-for-travelers-with-apple-watch.html,https://apps.apple.com/app/id6790418321,https://apps.apple.com/sa/app/id6790418321?pt=118326163&ct=iag_data_ar_sa&mt=8,دليل من إعداد الناشر Lumi Studio، مطوّر التطبيق. أسماء التطبيقات علامات تجارية لأصحابها وتُستخدم للتعريف فقط. لقرارات المستندات والصحة والمدرسة والإنتاجية، تحقق من المتطلبات الرسمية عند الحاجة.,publisher_authored_editorially_localized,false,false,true
ar-SA:dailymatelite:best-free-travel-phrasebook-app-with-real-dialogues-for-iphone,ar-SA,dailymatelite,DailyMate Lite: تكلّم الآن,6794725568,DailyMate Lite: تكلّم الآن — ٥٠ لغة لمواقف حقيقية | iOS App,تكلّم بثقة عندما يحين الموقف. يحوّل DailyMate Lite مواقف الحياة اليومية إلى تدريب قصير يجمع عبارة تبدأ الحوار بردّ طبيعي، عبر ٥٠ لغة. ابدأ مجانًا بموضوع,free_with_lifetime_unlock,true,best free travel phrasebook app with real dialogues for iphone,https://alice51849.github.io/ios-app-guide/ar-SA/dailymatelite.html,https://apps.apple.com/app/id6794725568,https://apps.apple.com/sa/app/id6794725568?pt=118326163&ct=iag_data_ar_sa&mt=8,هذه مادة ينشرها Lumi Studio مباشرةً بصفته مطور جميع التطبيقات المدرجة.,publisher_authored_editorially_localized,false,false,true
