id,item_group_id,title,description,link,image_link,price,price_value,price_currency,availability,condition,brand,product_category,product_type,content_language,shipping_country,enable_search,enable_checkout,seller_name,seller_url,app_store_id,app_store_url,operating_system,purchase_model,one_time_purchase,subscription
aibriefpack-ar-SA,aibriefpack,AI Brief,"AI Brief — Organize screenshots, PDFs, files, notes, and links into a traceable brief before sharing with any AI. Free to start · One-time unlock · No subscription.",https://alice51849.github.io/ios-app-guide/ar-SA/answers/best-private-app-to-organize-screenshots-and-documents-into-context-before-using-ai.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 SAR,0,SAR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,ar-SA,SA,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/sa/app/id6791658210?pt=118326163&ct=iag_data_ar_sa&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-bn-BD,aibriefpack,AI Brief,AI Brief — ভালো প্রেক্ষাপট। আরও ভালো উত্তর।,https://alice51849.github.io/ios-app-guide/bn-BD/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 INR,0,INR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,bn-BD,IN,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/in/app/id6791658210?pt=118326163&ct=iag_data_bn_bd&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-ca,aibriefpack,AI Brief,AI Brief — Millor context. Millors respostes.,https://alice51849.github.io/ios-app-guide/ca/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 EUR,0,EUR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,ca,ES,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/es/app/id6791658210?pt=118326163&ct=iag_data_ca&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-cs,aibriefpack,AI Brief,AI Brief — Lepší kontext. Lepší odpovědi.,https://alice51849.github.io/ios-app-guide/cs/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 CZK,0,CZK,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,cs,CZ,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/cz/app/id6791658210?pt=118326163&ct=iag_data_cs&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-da,aibriefpack,AI Brief,AI Brief — Bedre kontekst. Bedre svar.,https://alice51849.github.io/ios-app-guide/da/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 DKK,0,DKK,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,da,DK,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/dk/app/id6791658210?pt=118326163&ct=iag_data_da&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-de-DE,aibriefpack,AI Brief,"AI Brief — Organize screenshots, PDFs, files, notes, and links into a traceable brief before sharing with any AI. Free to start · One-time unlock · No subscription.",https://alice51849.github.io/ios-app-guide/de-DE/answers/best-private-app-to-organize-screenshots-and-documents-into-context-before-using-ai.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 EUR,0,EUR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,de-DE,DE,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/de/app/id6791658210?pt=118326163&ct=iag_data_de_de&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-el,aibriefpack,AI Brief,AI Brief — Καλύτερο πλαίσιο. Καλύτερες απαντήσεις.,https://alice51849.github.io/ios-app-guide/el/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 EUR,0,EUR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,el,GR,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/gr/app/id6791658210?pt=118326163&ct=iag_data_el&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-en-AU,aibriefpack,AI Brief,AI Brief — Better context. Better answers.,https://alice51849.github.io/ios-app-guide/en-AU/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 AUD,0,AUD,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,en-AU,AU,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/au/app/id6791658210?pt=118326163&ct=iag_data_en_au&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-en-CA,aibriefpack,AI Brief,AI Brief — Better context. Better answers.,https://alice51849.github.io/ios-app-guide/en-CA/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 CAD,0,CAD,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,en-CA,CA,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/ca/app/id6791658210?pt=118326163&ct=iag_data_en_ca&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-en-GB,aibriefpack,AI Brief,AI Brief — Better context. Better answers.,https://alice51849.github.io/ios-app-guide/en-GB/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 GBP,0,GBP,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,en-GB,GB,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/gb/app/id6791658210?pt=118326163&ct=iag_data_en_gb&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-en-US,aibriefpack,AI Brief,AI Brief — Better context. Better answers.,https://alice51849.github.io/ios-app-guide/en-US/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 USD,0,USD,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,en-US,US,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/us/app/id6791658210?pt=118326163&ct=iag_data_en_us&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-es-ES,aibriefpack,AI Brief,"AI Brief — Organize screenshots, PDFs, files, notes, and links into a traceable brief before sharing with any AI. Free to start · One-time unlock · No subscription.",https://alice51849.github.io/ios-app-guide/es-ES/answers/best-private-app-to-organize-screenshots-and-documents-into-context-before-using-ai.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 EUR,0,EUR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,es-ES,ES,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/es/app/id6791658210?pt=118326163&ct=iag_data_es_es&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-es-MX,aibriefpack,AI Brief,AI Brief — Mejor contexto. Mejores respuestas.,https://alice51849.github.io/ios-app-guide/es-MX/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 MXN,0,MXN,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,es-MX,MX,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/mx/app/id6791658210?pt=118326163&ct=iag_data_es_mx&mt=8,iOS,free_with_lifetime_unlock,true,false
aibriefpack-fi,aibriefpack,AI Brief,AI Brief — Parempi konteksti. Paremmat vastaukset.,https://alice51849.github.io/ios-app-guide/fi/aibriefpack.html,https://alice51849.github.io/ios-app-guide/social/img/aibriefpack-share.jpg,0 EUR,0,EUR,in_stock,new,Lumi Studio,"Notes, documents and focus",mobile application,fi,FI,true,false,Lumi Studio,https://alice51849.github.io/ios-app-guide/about.html,6791658210,https://apps.apple.com/fi/app/id6791658210?pt=118326163&ct=iag_data_fi&mt=8,iOS,free_with_lifetime_unlock,true,false
